SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
GRP-WDL-HA5,Notebook (bound journal),4820102060,CA
GRP-AUT-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-BLF-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-CHB-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-ENF-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-FWN-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-MOS-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-RIV-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-SCO-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-WDI-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-WDL-HB5,"Notebook (sewn journal, B5 size)",4820102030,CA
GNT-BLF-HTN,Notebook (bound journal),4820102060,CA
GNT-BTC-HTN,Notebook (bound journal),4820102060,CA
GNT-CHB-HTN,Notebook (bound journal),4820102060,CA
GNT-ENF-HTN,Notebook (bound journal),4820102060,CA
GNT-FWN-HTN,Notebook (bound journal),4820102060,CA
GNT-MON-HTN,Notebook (bound journal),4820102060,CA
GNT-MOS-HTN,Notebook (bound journal),4820102060,CA
GNT-RIV-HTN,Notebook (bound journal),4820102060,CA
GNT-SNP-HTN,Notebook (bound journal),4820102060,CA
GNT-WDL-HTN,Notebook (bound journal),4820102060,CA
GRP-AUT-H70,Notebook (bound journal),4820102060,CA
GRP-BLF-H70,Notebook (bound journal),4820102060,CA
GRP-BTC-H70,Notebook (bound journal),4820102060,CA
GRP-CHB-H70,Notebook (bound journal),4820102060,CA
GRP-AST-H70,Notebook (bound journal),4820102060,CA
GRP-ENF-H70,Notebook (bound journal),4820102060,CA
GRP-FWN-H70,Notebook (bound journal),4820102060,CA
GRP-MON-H70,Notebook (bound journal),4820102060,CA
GRP-MOS-H70,Notebook (bound journal),4820102060,CA
GRP-RIV-H70,Notebook (bound journal),4820102060,CA
GRP-SCO-H70,Notebook (bound journal),4820102060,CA
GRP-SNP-H70,Notebook (bound journal),4820102060,CA
GRP-WDI-H70,Notebook (bound journal),4820102060,CA
GRP-WDL-H70,Notebook (bound journal),4820102060,CA
GRP-CHB-PF7,Notebook (bound journal),4820102060,CA
GRP-MOS-PF7,Notebook (bound journal),4820102060,CA
GRP-RIV-PF7,Notebook (bound journal),4820102060,CA
GRP-FWN-PF7,Notebook (bound journal),4820102060,CA
